full_name,alias,age,gender,address,district_name,occupation,prior_convictions,modus_operandi,risk_score
Theodore Peri,Sanya,18,Male,"51, Patil Circle",Vijayapura,Mechanic,4,Targeting parked two-wheelers,88
Falak Bhandari,Ansh,41,Male,"H.No. 717, Baral Chowk",Mysuru,Laborer,6,Snatching on empty stretches,88
Anmol Bava,,52,Male,"H.No. 762, Sura",Mysuru,Driver,5,Fake online job offer,87
Ekanta Raval,Raghav,51,Male,"72/337, Cheema",Bengaluru Rural,Contractor,7,Snatching on empty stretches,88
Shaurya Sheth,,21,Female,"36/501, Tandon Street",Hubballi-Dharwad,Driver,3,Night time lock breaking,78
Chaitanya Raju,,42,Male,"H.No. 52, Wali",Bengaluru Urban,Unemployed,6,Fake online job offer,85
Jeet Anne,,45,Male,"01, Goel Chowk",Mangaluru (Dakshina Kannada),Delivery Boy,6,Targeting parked two-wheelers,80
Abhimanyu Ratti,,44,Male,"466, Tandon",Belagavi,Laborer,7,Night time lock breaking,88
Ishaan Tella,Girish,46,Male,"H.No. 81, Dalal Path",Bengaluru Urban,Mechanic,7,Fake online job offer,87
Saksham Bhatia,,35,Male,"54, Bali Street",Davangere,Mechanic,7,Fake online job offer,75
Rachita Pradhan,,33,Male,"45/25, Goswami Marg",Chikkamagaluru,Delivery Boy,3,Targeting parked two-wheelers,91
Bhavna Dutt,,45,Male,"03/550, Gopal Circle",Tumakuru,Laborer,3,Night time lock breaking,81
Yatin Ratti,,25,Male,"H.No. 654, Barman Path",Tumakuru,Delivery Boy,3,Targeting parked two-wheelers,78
Avni Nagi,Bakhshi,30,Female,"471, Dewan Circle",Davangere,Driver,5,Targeting parked two-wheelers,78
Samuel Ganguly,,50,Female,"30/96, Pau Street",Hassan,Contractor,4,Targeting parked two-wheelers,89
Kalpit Bhatia,,28,Male,"837, Morar Nagar",Mysuru,Unemployed,0,Opportunistic crime,46
Arjun Raja,,49,Female,"15/278, Anne Ganj",Bengaluru Urban,Delivery Boy,0,Opportunistic crime,14
Falan Badami,,22,Female,"H.No. 17, Basak Ganj",Shivamogga,Contractor,1,Opportunistic crime,13
Samaksh Subramaniam,,24,Male,"16, Mishra Chowk",Davangere,Contractor,0,Opportunistic crime,16
Vanya Pillai,,46,Male,"49, Goda",Kalaburagi,Unemployed,1,Opportunistic crime,13
Ekavir Ratta,Sathvik,20,Male,"69/910, Radhakrishnan Circle",Vijayapura,Laborer,0,Opportunistic crime,27
Champak Atwal,,31,Male,"84, Agarwal Chowk",Shivamogga,Contractor,1,Opportunistic crime,36
Samuel Varty,,22,Male,"92/68, Kapur Chowk",Belagavi,Unemployed,0,Opportunistic crime,3
Lajita Jayaraman,,44,Male,"31/119, Gokhale",Ballari,Laborer,0,Opportunistic crime,34
Harrison Warrior,,20,Male,"H.No. 891, Oza Chowk",Mandya,Contractor,0,Opportunistic crime,24
Aadi Bal,,32,Female,"45/39, Doctor Zila",Kalaburagi,Delivery Boy,1,Opportunistic crime,48
Zaid Sunder,Madhav,24,Male,"H.No. 899, Pillai Nagar",Tumakuru,Delivery Boy,0,Opportunistic crime,31
Mohammed Biswas,,45,Male,"H.No. 00, Prashad Ganj",Mangaluru (Dakshina Kannada),Vendor,1,Opportunistic crime,8
