fir_case_number,accused_full_name,accused_role
KAR/RAI/2024/1934,Manbir Nadig,Primary Suspect
KAR/TUM/2024/1046,Manbir Nadig,Primary Suspect
KAR/KOL/2024/1322,Manbir Nadig,Primary Suspect
KAR/BEN/2024/2193,Manbir Nadig,Primary Suspect
KAR/BEN/2024/1467,Parth Nazareth,Primary Suspect
KAR/HUB/2024/0341,Parth Nazareth,Primary Suspect
KAR/MAN/2024/1758,Parth Nazareth,Primary Suspect
KAR/BEN/2024/2151,Parth Nazareth,Primary Suspect
KAR/KOP/2024/0473,Parth Nazareth,Primary Suspect
KAR/KAL/2024/0658,Parth Nazareth,Primary Suspect
KAR/VIJ/2024/0318,Parth Nazareth,Primary Suspect
KAR/BEL/2024/1534,Alexander Sehgal,Primary Suspect
KAR/RAI/2024/0957,Alexander Sehgal,Primary Suspect
KAR/KOP/2024/0312,Alexander Sehgal,Primary Suspect
KAR/KOL/2024/0542,Alexander Sehgal,Primary Suspect
KAR/BEN/2024/2145,Rajata Patla,Primary Suspect
KAR/BEN/2024/1989,Rajata Patla,Primary Suspect
KAR/VIJ/2024/1201,Rajata Patla,Primary Suspect
KAR/BAL/2024/2188,Rajata Patla,Primary Suspect
KAR/BEN/2024/2083,Rajata Patla,Primary Suspect
KAR/BEN/2024/0050,Niharika Chawla,Primary Suspect
KAR/MAN/2024/1943,Niharika Chawla,Primary Suspect
KAR/BAL/2024/1790,Niharika Chawla,Primary Suspect
KAR/BEN/2024/0815,Niharika Chawla,Primary Suspect
KAR/HAS/2024/1662,Niharika Chawla,Primary Suspect
KAR/BEN/2024/2385,Niharika Chawla,Primary Suspect
KAR/DAV/2024/0330,Urishilla Kapadia,Primary Suspect
KAR/DAV/2024/0827,Urishilla Kapadia,Primary Suspect
KAR/KOP/2024/1087,Urishilla Kapadia,Primary Suspect
KAR/BID/2024/1991,Urishilla Kapadia,Primary Suspect
KAR/CHI/2024/0636,Urishilla Kapadia,Primary Suspect
KAR/BEN/2024/1430,Urishilla Kapadia,Primary Suspect
KAR/BEN/2024/0053,Ria Chowdhury,Primary Suspect
KAR/HUB/2024/0419,Ria Chowdhury,Primary Suspect
KAR/BEN/2024/1740,Ria Chowdhury,Primary Suspect
KAR/BEN/2024/0585,Ria Chowdhury,Primary Suspect
KAR/DAV/2024/1530,Rehaan Toor,Primary Suspect
KAR/BEN/2024/1510,Rehaan Toor,Primary Suspect
KAR/MAN/2024/0941,Rehaan Toor,Primary Suspect
KAR/HAS/2024/1515,Rehaan Toor,Primary Suspect
KAR/MAN/2024/2023,Rehaan Toor,Primary Suspect
KAR/DAV/2024/1160,Rehaan Toor,Primary Suspect
KAR/MYS/2024/1867,Azad Nagi,Primary Suspect
KAR/BID/2024/1018,Azad Nagi,Primary Suspect
KAR/RAI/2024/0831,Azad Nagi,Primary Suspect
KAR/BEN/2024/1547,Azad Nagi,Primary Suspect
KAR/UDU/2024/0113,Azad Nagi,Primary Suspect
KAR/VIJ/2024/0949,Azad Nagi,Primary Suspect
KAR/BEN/2024/1286,Azad Nagi,Primary Suspect
KAR/BEN/2024/0560,Anya Rege,Primary Suspect
KAR/BEN/2024/1749,Anya Rege,Primary Suspect
KAR/UDU/2024/1824,Anya Rege,Primary Suspect
KAR/BEN/2024/0124,Anya Rege,Primary Suspect
KAR/BEN/2024/0157,Anya Rege,Primary Suspect
KAR/MYS/2024/0543,Anya Rege,Primary Suspect
KAR/BEN/2024/2154,Anya Rege,Primary Suspect
KAR/DAV/2024/0097,Oliver Chowdhury,Primary Suspect
KAR/BEL/2024/1355,Oliver Chowdhury,Primary Suspect
KAR/KOL/2024/1322,Oliver Chowdhury,Primary Suspect
KAR/BEN/2024/0715,Oliver Chowdhury,Primary Suspect
KAR/BEN/2024/0728,Oliver Chowdhury,Primary Suspect
KAR/BEN/2024/0582,Oliver Chowdhury,Primary Suspect
KAR/MAN/2024/2261,Tanish Comar,Primary Suspect
KAR/DAV/2024/2441,Tanish Comar,Primary Suspect
KAR/MYS/2024/2420,Tanish Comar,Primary Suspect
KAR/BEN/2024/0757,Tanish Comar,Primary Suspect
KAR/BEN/2024/2063,Yatan Prashad,Primary Suspect
KAR/BEL/2024/1442,Yatan Prashad,Primary Suspect
KAR/MAN/2024/0021,Yatan Prashad,Primary Suspect
KAR/SHI/2024/0281,Yatan Prashad,Primary Suspect
KAR/UDU/2024/2053,Faris Dhawan,Primary Suspect
KAR/RAI/2024/1970,Faris Dhawan,Primary Suspect
KAR/MAN/2024/1455,Faris Dhawan,Primary Suspect
KAR/BEN/2024/0834,Faris Dhawan,Primary Suspect
KAR/HAS/2024/0067,Faris Dhawan,Primary Suspect
KAR/BEN/2024/1339,Faris Dhawan,Primary Suspect
KAR/BEN/2024/2059,Faris Dhawan,Primary Suspect
KAR/KOP/2024/1588,Faris Dhawan,Primary Suspect
KAR/DAV/2024/0182,Pahal Lanka,Primary Suspect
KAR/BAL/2024/0012,Pahal Lanka,Primary Suspect
KAR/DAV/2024/1154,Pahal Lanka,Primary Suspect
KAR/BEL/2024/0870,Pahal Lanka,Primary Suspect
KAR/SHI/2024/1120,Pahal Lanka,Primary Suspect
KAR/RAI/2024/0957,Abhiram Bava,Accomplice
KAR/BEN/2024/0668,Jairaj Bains,Primary Suspect
KAR/BEN/2024/1531,Eesha Trivedi,Co-conspirator
KAR/VIJ/2024/0469,Viraj Datta,Accomplice
KAR/MAN/2024/0556,Pavani Apte,Primary Suspect
KAR/HAS/2024/1426,Vincent Iyengar,Accomplice
KAR/BEN/2024/2021,Oliver Kibe,Primary Suspect
KAR/BEN/2024/1884,Nitesh Wali,Primary Suspect
