fir_case_number,accused_full_name,role
KAR/BEN/2024/1504,Theodore Peri,Primary Suspect
KAR/BEN/2024/1535,Theodore Peri,Primary Suspect
KAR/BAL/2024/1558,Theodore Peri,Primary Suspect
KAR/BEN/2024/0938,Theodore Peri,Primary Suspect
KAR/BEN/2024/0877,Falak Bhandari,Primary Suspect
KAR/HAS/2024/1071,Falak Bhandari,Primary Suspect
KAR/BEN/2024/1439,Falak Bhandari,Primary Suspect
KAR/MYS/2024/2080,Falak Bhandari,Primary Suspect
KAR/BEN/2024/0528,Falak Bhandari,Primary Suspect
KAR/MAN/2024/1792,Anmol Bava,Primary Suspect
KAR/BEN/2024/1133,Anmol Bava,Primary Suspect
KAR/SHI/2024/0412,Anmol Bava,Primary Suspect
KAR/TUM/2024/2165,Anmol Bava,Primary Suspect
KAR/BEN/2024/1712,Ekanta Raval,Primary Suspect
KAR/MAN/2024/2470,Ekanta Raval,Primary Suspect
KAR/BEN/2024/0365,Ekanta Raval,Primary Suspect
KAR/BEN/2024/0969,Ekanta Raval,Primary Suspect
KAR/BEN/2024/2466,Ekanta Raval,Primary Suspect
KAR/KAL/2024/1261,Ekanta Raval,Primary Suspect
KAR/BEN/2024/0849,Ekanta Raval,Primary Suspect
KAR/BEN/2024/1022,Ekanta Raval,Primary Suspect
KAR/CHI/2024/0927,Shaurya Sheth,Primary Suspect
KAR/BEN/2024/1352,Shaurya Sheth,Primary Suspect
KAR/RAI/2024/0605,Shaurya Sheth,Primary Suspect
KAR/BEN/2024/1815,Shaurya Sheth,Primary Suspect
KAR/BEN/2024/1539,Shaurya Sheth,Primary Suspect
KAR/RAI/2024/1433,Shaurya Sheth,Primary Suspect
KAR/DAV/2024/2354,Chaitanya Raju,Primary Suspect
KAR/BEN/2024/2435,Chaitanya Raju,Primary Suspect
KAR/BEN/2024/1734,Chaitanya Raju,Primary Suspect
KAR/BEN/2024/0887,Chaitanya Raju,Primary Suspect
KAR/KOL/2024/0367,Jeet Anne,Primary Suspect
KAR/MYS/2024/1356,Jeet Anne,Primary Suspect
KAR/BEN/2024/1057,Jeet Anne,Primary Suspect
KAR/KOP/2024/0103,Jeet Anne,Primary Suspect
KAR/BEN/2024/0014,Jeet Anne,Primary Suspect
KAR/BEL/2024/0100,Jeet Anne,Primary Suspect
KAR/TUM/2024/1023,Abhimanyu Ratti,Primary Suspect
KAR/SHI/2024/2024,Abhimanyu Ratti,Primary Suspect
KAR/BEN/2024/2341,Abhimanyu Ratti,Primary Suspect
KAR/BEN/2024/1455,Abhimanyu Ratti,Primary Suspect
KAR/BEN/2024/0175,Abhimanyu Ratti,Primary Suspect
KAR/BEN/2024/1592,Abhimanyu Ratti,Primary Suspect
KAR/MAN/2024/0541,Abhimanyu Ratti,Primary Suspect
KAR/HAS/2024/1216,Ishaan Tella,Primary Suspect
KAR/BEN/2024/1881,Ishaan Tella,Primary Suspect
KAR/BAL/2024/0237,Ishaan Tella,Primary Suspect
KAR/BEN/2024/0697,Ishaan Tella,Primary Suspect
KAR/BEN/2024/0273,Saksham Bhatia,Primary Suspect
