fir_case_number,victim_full_name
KAR/UDU/2024/0001,Bhavika Bora
KAR/BEN/2024/0002,Eta Shroff
KAR/SHI/2024/0003,Guneet Bir
KAR/MAN/2024/0004,Eta Bhakta
KAR/BEN/2024/0005,Gauri Sarin
KAR/MAN/2024/0006,Wyatt Ganesan
KAR/SHI/2024/0007,Girish Mammen
KAR/BEN/2024/0008,Geetika Dugal
KAR/BEN/2024/0009,Qushi Devi
KAR/BEN/2024/0010,Champak More
KAR/TUM/2024/0011,Rayaan Sood
KAR/BEN/2024/0012,Wyatt Mukherjee
KAR/TUM/2024/0013,William Wable
KAR/BEN/2024/0014,Kai Verma
KAR/BEN/2024/0015,Aditya Chokshi
KAR/BEN/2024/0016,Jeremiah Bail
KAR/UDU/2024/0017,Arin Bandi
KAR/MAN/2024/0018,Dalbir Gill
KAR/BEL/2024/0019,Parth Patla
KAR/BEN/2024/0020,Madhav Garde
KAR/VIJ/2024/0021,Vidhi Chandran
KAR/BEN/2024/0022,Samar Barad
KAR/KOL/2024/0023,Sarthak Iyengar
KAR/MAN/2024/0024,Anvi Bobal
KAR/BEN/2024/0025,Vedant Saxena
KAR/BEN/2024/0026,Sara Mallick
KAR/TUM/2024/0027,Chaman Bumb
KAR/BEN/2024/0028,Quincy Dutta
KAR/BEN/2024/0029,Samuel Shan
KAR/BEN/2024/0030,Rishi Hayer
KAR/CHI/2024/0031,Falak Patla
KAR/RAI/2024/0032,Manya Bassi
KAR/KOL/2024/0033,Zaitra Bhatnagar
KAR/MAN/2024/0034,Balveer Vora
KAR/SHI/2024/0035,Kevin Hayer
KAR/MYS/2024/0036,Nidhi Iyer
KAR/BAL/2024/0037,Ranbir Badami
KAR/KOL/2024/0038,Abhiram Bains
KAR/BEN/2024/0039,Dipta Narain
KAR/HUB/2024/0040,Ikshita Gaba
KAR/BEN/2024/0041,Abdul Warrior
KAR/KOP/2024/0042,Pranit Basak
KAR/KOL/2024/0043,Baljiwan Chaudhry
KAR/SHI/2024/0044,Bachittar Nadkarni
KAR/BEN/2024/0045,Saksham Cherian
KAR/RAI/2024/0046,Garima Raja
KAR/BEN/2024/0047,Vihaan Garde
KAR/MAN/2024/0048,Jatin Garde
KAR/VIJ/2024/0049,Samesh Mahajan
KAR/BEN/2024/0050,Qadim Tella
KAR/KOP/2024/0051,Yatin Badal
KAR/SHI/2024/0052,Abhimanyu Sethi
KAR/HUB/2024/0053,Theodore Chhabra
KAR/BEN/2024/0054,Lekha Raj
KAR/CHI/2024/0055,Yutika Ramakrishnan
